TimeStamp,X-Axis,Y-Axis,Z-Axis,Velocity
2021-04-21 10:37:24.906,-0.057,-2.03,9.5,0.00
2021-04-21 10:37:25.307,-0.019,-2.03,9.462,0.95
2021-04-21 10:37:25.907,-0.057,-2.049,9.481,1.90
2021-04-21 10:37:27.707,-0.019,-2.03,9.481,1.90
2021-04-21 10:37:28.307,-0.038,-2.03,9.5,2.85
2021-04-21 10:37:29.105,-0.038,-2.03,9.481,0.95
2021-04-21 10:37:29.707,-0.038,-2.049,9.481,1.90
2021-04-21 10:37:31.907,-0.057,-2.049,9.5,0.95
2021-04-21 10:37:32.306,-0.038,-2.03,9.481,0.83
2021-04-21 10:37:32.536,-0.038,-2.049,9.481,0.95
2021-04-21 10:37:33.106,-0.019,-2.03,9.481,1.90
2021-04-21 10:37:33.307,-0.019,-2.049,9.481,0.00
2021-04-21 10:37:33.907,-0.038,-2.03,9.481,0.00
2021-04-21 10:37:34.106,-0.057,-2.049,9.481,1.90
2021-04-21 10:37:34.507,-0.038,-2.03,9.481,1.90
2021-04-21 10:37:34.707,-0.038,-2.049,9.5,0.00
2021-04-21 10:37:35.506,-0.057,-2.03,9.481,0.95
2021-04-21 10:37:35.705,-0.038,-2.049,9.462,0.95
2021-04-21 10:37:35.907,-0.038,-2.03,9.462,0.00
2021-04-21 10:37:36.507,-0.057,-2.03,9.481,2.85
2021-04-21 10:37:38.506,-0.019,-2.049,9.481,0.95
2021-04-21 10:37:44.306,-0.057,-2.049,9.5,2.85
2021-04-21 10:37:44.707,-0.019,-2.03,9.481,1.90
2021-04-21 10:37:44.906,-0.057,-2.03,9.481,0.95
2021-04-21 10:37:49.506,-0.038,-2.049,9.481,1.89
2021-04-21 10:37:50.306,-0.019,-2.03,9.462,0.00
2021-04-21 10:37:51.107,-0.153,-2.106,9.481,9.60
2021-04-21 10:37:51.506,0.459,-1.398,9.577,70.45
2021-04-21 10:37:51.706,-2.049,-1.532,11.971,12.40
2021-04-21 10:37:51.907,-1.225,0.689,9.251,16.25
2021-04-21 10:37:52.107,-1.091,3.064,8.389,75.21
2021-04-21 10:37:52.324,-2.49,6.723,6.32,3.73
2021-04-21 10:37:52.837,-2.355,7.374,5.688,59.23
2021-04-21 10:37:52.862,-3.026,6.397,7.508,30.71
2021-04-21 10:37:52.919,-1.053,4.099,7.585,12.85
2021-04-21 10:37:53.118,-1.551,5.305,7.891,45.27
2021-04-21 10:37:53.336,-2.528,4.769,7.393,118.29
2021-04-21 10:37:53.506,-1.877,5.152,7.7,66.72
2021-04-21 10:37:53.707,-1.187,5.075,8.466,69.65
2021-04-21 10:37:53.905,-1.474,5.382,7.585,43.05
2021-04-21 10:37:54.105,-1.168,5.401,7.355,4.75
2021-04-21 10:37:54.304,-1.608,5.631,7.125,17.29
2021-04-21 10:37:54.705,-1.091,4.271,6.761,60.05
2021-04-21 10:37:54.907,-1.704,5.497,7.393,62.25
2021-04-21 10:37:55.106,-2.087,5.612,7.144,25.98
2021-04-21 10:37:55.305,-1.972,5.286,6.263,54.60
2021-04-21 10:37:55.505,-3.237,5.382,8.044,29.00
2021-04-21 10:37:55.716,-2.183,4.865,9.921,127.72
2021-04-21 10:37:55.907,-4.367,2.221,7.929,341.00
2021-04-21 10:37:56.105,-4.673,2.566,8.083,9.19
2021-04-21 10:37:56.314,-6.512,2.739,7.565,109.20
2021-04-21 10:37:56.515,-7.067,1.666,6.569,133.20
2021-04-21 10:37:56.714,-6.148,2.183,5.995,44.66
2021-04-21 10:37:56.905,-6.244,0.019,7.374,44.05
2021-04-21 10:37:57.104,-5.018,1.13,7.527,124.50
2021-04-21 10:37:57.305,-5.784,2.49,7.7,38.35
2021-04-21 10:37:57.505,-4.233,1.628,8.37,66.62
2021-04-21 10:37:57.708,-3.16,1.091,8.945,56.68
2021-04-21 10:37:57.904,-7.278,1.743,6.589,291.10
2021-04-21 10:37:58.104,-7.604,1.494,6.244,46.00
2021-04-21 10:37:58.305,-5.535,0.708,7.795,141.70
2021-04-21 10:37:58.505,-4.118,-0.268,8.925,78.55
2021-04-21 10:37:58.704,-3.313,0.134,8.332,30.70
2021-04-21 10:37:58.904,-3.945,-0.038,9.174,1.86
2021-04-21 10:37:59.109,-6.129,0.804,7.106,173.98
2021-04-21 10:37:59.305,-5.727,0.67,7.546,35.40
2021-04-21 10:37:59.505,-3.275,4.405,7.182,291.15
2021-04-21 10:37:59.705,-6.225,3.007,8.044,174.30
2021-04-21 10:37:59.904,-7.527,0.249,6.282,291.10
2021-04-21 10:38:00.104,-6.397,-1.723,7.106,0.90
2021-04-21 10:38:00.304,-5.267,-0.038,8.14,191.49
2021-04-21 10:38:00.507,-1.417,-1.934,9.117,144.38
2021-04-21 10:38:00.708,-0.038,-2.03,9.481,83.60
2021-04-21 10:38:00.907,0.019,-2.03,9.481,5.70
2021-04-21 10:38:01.305,-0.038,-2.03,9.481,0.00
2021-04-21 10:38:50.951,-0.038,-2.011,9.481,0.00
2021-04-21 10:38:54.149,-0.038,-2.011,9.481,0.00
2021-04-21 10:38:56.348,-0.057,-2.03,9.481,1.89
2021-04-21 10:38:57.751,-0.038,-2.03,9.481,0.00
2021-04-21 10:38:58.150,-0.057,-2.011,9.5,0.95
2021-04-21 10:38:58.350,-0.057,-2.011,9.481,0.00
2021-04-21 10:38:58.952,-0.076,-2.011,9.481,0.00
2021-04-21 10:38:59.750,-0.057,-2.03,9.5,0.95
2021-04-21 10:38:59.950,-0.057,-2.03,9.5,0.95
2021-04-21 10:39:01.550,-0.076,-2.03,9.481,1.91
2021-04-21 10:39:02.150,-0.076,-2.011,9.481,0.00
2021-04-21 10:39:03.150,-0.057,-2.011,9.481,1.88
2021-04-21 10:39:05.152,-0.057,-2.03,9.481,0.00
2021-04-21 10:39:06.148,-0.076,-2.011,9.481,0.00
2021-04-21 10:39:06.348,-0.057,-2.03,9.5,0.95
2021-04-21 10:39:06.549,-0.076,-2.011,9.481,0.95
2021-04-21 10:39:06.748,-0.057,-2.03,9.481,0.00
2021-04-21 10:39:06.950,0.095,-1.8,9.519,18.15
2021-04-21 10:39:07.349,-0.057,-1.992,9.5,18.15
2021-04-21 10:39:07.548,-0.076,-2.049,9.481,5.70
2021-04-21 10:39:07.950,-0.057,-2.03,9.481,2.85
2021-04-21 10:39:08.349,-0.076,-2.011,9.481,3.50
2021-04-21 10:39:08.756,-0.076,-2.011,9.481,0.00
2021-04-21 10:39:10.150,-0.057,-2.011,9.481,3.80
2021-04-21 10:39:10.949,-0.057,-2.03,9.5,0.95
2021-04-21 10:39:11.949,-0.057,-2.011,9.481,0.95
2021-04-21 10:39:13.150,-0.076,-2.03,9.481,0.00
2021-04-21 10:39:13.550,-0.057,-2.011,9.5,1.90
2021-04-21 10:39:14.348,-0.057,-2.03,9.481,0.00
2021-04-21 10:39:14.749,-0.076,-2.011,9.481,0.00
2021-04-21 10:39:14.949,-0.057,-2.011,9.481,1.89
2021-04-21 10:39:15.750,-0.057,-2.011,9.5,1.90
2021-04-21 10:39:16.349,-0.057,-2.03,9.481,0.95
2021-04-21 10:39:17.549,-0.057,-2.011,9.5,2.86
2021-04-21 10:39:17.949,-0.076,-2.03,9.5,1.91
2021-04-21 10:39:18.549,-0.095,-2.011,9.5,0.95
2021-04-21 10:39:20.549,-0.095,-2.03,9.5,0.95
2021-04-21 10:39:22.749,-0.057,-2.011,9.5,2.84
2021-04-21 10:39:22.950,-0.076,-2.011,9.5,0.00
2021-04-21 10:39:23.549,-0.076,-2.03,9.5,0.00
2021-04-21 10:39:24.149,-0.057,-2.011,9.5,1.90
2021-04-21 10:39:25.149,-0.076,-2.011,9.5,0.95
2021-04-21 10:39:25.949,-0.095,-2.03,9.481,2.85
2021-04-21 10:39:26.149,-0.076,-2.049,9.5,0.89
2021-04-21 10:39:26.361,-0.076,-2.03,9.5,1.89
2021-04-21 10:39:27.550,-0.038,-1.992,9.5,5.67
2021-04-21 10:39:27.950,-0.057,-2.011,9.481,2.86
2021-04-21 10:39:28.149,-0.038,-2.03,9.5,0.95
2021-04-21 10:39:28.549,-0.076,-2.011,9.481,1.91
2021-04-21 10:39:28.749,-0.114,-2.03,9.481,4.77
2021-04-21 10:39:29.949,-0.057,-2.011,9.519,5.67
2021-04-21 10:39:30.149,-0.076,-2.011,9.481,0.00
2021-04-21 10:39:34.149,-0.057,-1.992,9.5,3.80
2021-04-21 10:39:34.549,-0.095,-1.992,9.5,0.00
2021-04-21 10:39:34.949,-0.076,-2.03,9.5,0.22
2021-04-21 10:39:35.799,-0.057,-2.011,9.481,31.67
2021-04-21 10:39:35.806,-0.057,-1.992,9.5,3.78
2021-04-21 10:39:37.149,-0.038,-1.992,9.5,1.90
2021-04-21 10:39:37.749,-0.076,-2.011,9.5,2.85
2021-04-21 10:39:37.949,-0.057,-2.011,9.481,0.95
2021-04-21 10:39:38.349,-0.076,-2.03,9.519,0.00
2021-04-21 10:39:38.552,-0.076,-1.992,9.5,0.00
2021-04-21 10:39:39.149,-0.076,-2.03,9.481,2.85
2021-04-21 10:39:42.349,-0.038,-2.011,9.481,2.85
2021-04-21 10:39:42.549,-0.057,-1.992,9.5,0.00
2021-04-21 10:39:43.749,-0.038,-2.011,9.5,0.00
2021-04-21 10:39:43.980,-0.057,-2.03,9.481,0.95
2021-04-21 10:39:44.549,-0.057,-1.992,9.481,2.84
2021-04-21 10:39:45.749,-0.076,-2.011,9.481,1.90
2021-04-21 10:39:45.949,-0.076,-1.992,9.5,0.95
2021-04-21 10:39:47.350,-0.057,-2.011,9.5,1.89
2021-04-21 10:39:51.749,-0.057,-2.011,9.5,1.90
2021-04-21 10:39:54.149,-0.076,-1.992,9.5,0.00
2021-04-21 10:39:54.749,-0.057,-2.011,9.519,0.95
2021-04-21 10:39:54.949,-0.076,-2.011,9.5,0.00
2021-04-21 10:39:56.349,-0.076,-2.03,9.5,1.90
2021-04-21 10:39:57.149,-0.057,-2.011,9.5,0.00
2021-04-21 10:39:57.750,-0.057,-2.03,9.5,0.00
2021-04-21 10:39:58.149,-0.057,-1.992,9.519,0.95
2021-04-21 10:39:58.749,-0.076,-2.03,9.5,1.90
2021-04-21 10:40:03.749,-0.057,-2.011,9.5,1.90
2021-04-21 10:40:03.949,-0.057,-1.992,9.481,0.95
2021-04-21 10:40:06.749,-0.076,-2.011,9.481,1.90
2021-04-21 10:40:06.949,-0.057,-2.011,9.481,0.96
2021-04-21 10:40:07.749,-0.076,-1.992,9.5,0.00
2021-04-21 10:40:10.349,-0.076,-2.011,9.5,2.86
2021-04-21 10:40:12.151,-0.057,-1.992,9.481,0.96
2021-04-21 10:40:12.348,-0.076,-2.011,9.5,0.89
2021-04-21 10:40:12.561,-0.076,-2.03,9.5,1.90
2021-04-21 10:40:13.349,-0.057,-2.011,9.5,1.91
2021-04-21 10:40:14.749,-0.076,-2.011,9.5,1.91
2021-04-21 10:40:16.349,-0.057,-2.03,9.5,0.00
2021-04-21 10:40:18.749,-0.057,-2.011,9.481,0.00
2021-04-21 10:40:20.349,-0.038,-1.992,9.5,2.85
2021-04-21 10:40:20.549,-0.057,-2.011,9.5,1.89
2021-04-21 10:40:20.749,-0.057,-2.011,9.481,0.95
2021-04-21 10:40:21.549,-0.038,-2.03,9.5,0.95
2021-04-21 10:40:22.749,-0.076,-2.011,9.5,0.95
2021-04-21 10:40:22.949,-0.076,-1.992,9.5,2.25
2021-04-21 10:40:23.349,-0.057,-1.992,9.5,1.90
2021-04-21 10:40:23.749,-0.057,-1.992,9.519,2.86
2021-04-21 10:40:24.349,-0.057,-2.011,9.519,0.95
2021-04-21 10:40:35.348,-0.076,-2.03,9.5,2.85
2021-04-21 10:40:35.549,-0.057,-2.011,9.5,1.90
2021-04-21 10:40:35.749,-0.076,-1.992,9.5,0.95
2021-04-21 10:40:38.749,-0.057,-2.011,9.481,0.95
2021-04-21 10:40:38.949,-0.076,-1.992,9.5,0.00
2021-04-21 10:40:39.549,-0.057,-2.011,9.5,0.00
2021-04-21 10:40:39.749,-0.057,-2.011,9.5,0.00
