meanX,meanY,meanZ,maxX,maxY,maxZ,minX,minY,minZ,stdX,stdY,stdZ,varX,varY,varZ,medianX,medianY,medianZ,rmsX,rmsY,rmsZ,corX,corY,corZ,energyX,energyY,energyZ,iqrX,iqrY,iqrZ,madX,madY,madZ,sma,Class
-4.1004e-01,4.3981e-01,6.7927e-01,-6.4724e-01,1.0000e+00,2.3846e-01,-7.4320e-01,-1.0000e+00,2.3056e-01,2.8116e-02,3.0151e-01,-4.6520e-01,-4.6540e-01,-1.4734e-01,-8.5587e-01,-2.1556e-01,1.4200e-01,8.6510e-01,-3.0942e-01,2.9277e-01,8.4763e-03,-4.3578e-01,6.7349e-01,-4.9250e-01,-7.2471e-01,-1.3724e-01,-4.7549e-01,-8.9409e-02,-7.8636e-01,-6.6840e-01,-6.8246e-01,-8.1354e-01,-8.0811e-01,-2.0927e-01,0
-6.8671e-01,3.4537e-01,4.7630e-01,-5.6031e-01,1.0000e+00,2.6105e-01,-7.4320e-01,-1.0000e+00,2.3056e-01,9.2960e-03,8.6164e-01,-3.7504e-01,-4.8457e-01,7.3447e-01,-8.0349e-01,-7.0144e-01,3.7725e-01,4.8252e-01,6.5445e-03,8.4251e-01,-1.0003e-01,-3.9782e-01,5.3206e-01,-7.8884e-01,-4.5269e-01,7.0603e-01,-5.7919e-01,-2.0381e-01,6.1848e-01,-4.7529e-01,-5.4538e-02,5.6286e-01,-4.5895e-01,4.7475e-01,0
-7.2610e-01,4.1580e-01,4.1833e-01,-5.6031e-01,1.0000e+00,2.6105e-01,-6.6585e-01,-1.0000e+00,2.2033e-01,2.1045e-02,8.8259e-01,-3.7296e-01,-4.7264e-01,7.7345e-01,-8.0218e-01,-7.4546e-01,4.7742e-01,4.5696e-01,6.4363e-02,8.6948e-01,-1.4012e-01,-4.7012e-01,5.1323e-01,-7.9519e-01,-3.9299e-01,7.5471e-01,-6.1462e-01,-2.1149e-01,6.1143e-01,-4.6564e-01,-1.1545e-01,6.5688e-01,-5.0087e-01,5.2534e-01,0
-7.5722e-01,6.0388e-01,3.6490e-01,-5.8162e-01,1.0000e+00,1.2376e-01,-6.6585e-01,-1.0000e+00,2.2033e-01,7.6245e-02,9.2227e-01,-3.6742e-01,-4.1479e-01,8.4850e-01,-7.9869e-01,-8.0731e-01,7.0237e-01,3.6626e-01,1.2634e-01,9.3074e-01,-1.7292e-01,-6.2062e-01,6.7840e-01,-7.4060e-01,-3.2558e-01,8.6785e-01,-6.4245e-01,-1.0409e-01,6.5881e-01,-4.4295e-01,-2.6407e-02,6.0312e-01,-4.1185e-01,5.9836e-01,0
-6.1822e-01,4.5323e-01,5.4414e-01,-4.8191e-01,1.0000e+00,1.2376e-01,-4.3536e-01,-1.0000e+00,4.2489e-01,1.3711e-01,7.4588e-01,-4.1957e-01,-3.4751e-01,5.2683e-01,-8.3037e-01,-6.0332e-01,2.3356e-01,5.7674e-01,-3.1515e-02,7.3654e-01,-7.6168e-02,-4.4207e-01,6.6869e-01,-7.7989e-01,-4.9031e-01,5.2135e-01,-5.5736e-01,2.6811e-01,1.8551e-01,-3.8748e-01,4.7930e-01,1.8364e-01,-3.8214e-01,3.2758e-01,0
-8.3616e-01,-2.7876e-01,-1.6141e-01,-9.0030e-01,-6.2485e-01,-6.2788e-01,-2.2961e-01,3.1528e-01,4.8548e-01,-3.0759e-01,-8.3587e-01,-7.5680e-01,-7.5476e-01,-9.8464e-01,-9.6982e-01,-8.2097e-01,-3.5829e-01,-1.7096e-01,1.3212e-01,-7.6729e-01,-7.7757e-01,1.0515e-01,1.1335e-01,-1.7177e-01,-3.1911e-01,-9.6072e-01,-9.6894e-01,-3.0026e-01,-8.8205e-01,-6.8988e-01,-1.8923e-01,-8.8559e-01,-7.3321e-01,-7.0959e-01,0
-8.7878e-01,-3.5790e-01,-7.8140e-02,-9.5996e-01,-6.1064e-01,-6.2788e-01,-2.2961e-01,4.6492e-01,5.4056e-01,-3.7739e-01,-8.3985e-01,-7.6101e-01,-8.0095e-01,-9.8533e-01,-9.7084e-01,-8.8521e-01,-4.4907e-01,-6.7508e-02,1.8411e-01,-7.2319e-01,-7.4366e-01,2.3175e-01,3.9670e-02,-3.0293e-01,-2.5958e-01,-9.4754e-01,-9.5999e-01,-3.5207e-01,-8.4207e-01,-6.7378e-01,-2.4509e-01,-8.6018e-01,-6.7544e-01,-6.1791e-01,0
-8.2704e-01,-3.8780e-01,-8.2077e-02,-8.7641e-01,-6.1064e-01,-6.2878e-01,-2.0330e-01,4.6492e-01,5.5551e-01,-3.0767e-01,-8.2385e-01,-7.9587e-01,-7.5482e-01,-9.8247e-01,-9.7864e-01,-8.1386e-01,-5.0198e-01,-6.1620e-02,1.1800e-01,-6.9675e-01,-7.7312e-01,2.1899e-01,3.2666e-02,-2.8246e-01,-3.3486e-01,-9.3876e-01,-9.6783e-01,-2.8718e-01,-8.1602e-01,-7.4100e-01,-2.0183e-01,-8.1638e-01,-7.4351e-01,-6.5868e-01,0
-8.0831e-01,-3.5926e-01,-2.2670e-01,-8.7641e-01,-5.4023e-01,-6.6854e-01,-3.3807e-01,-1.2720e-01,3.9105e-01,-2.0409e-01,-7.5125e-01,-7.5166e-01,-6.7742e-01,-9.6633e-01,-9.6854e-01,-7.4068e-01,-4.9881e-01,-1.6859e-01,1.1466e-01,-6.6887e-01,-7.8657e-01,2.0419e-01,1.4165e-01,-8.8318e-02,-3.3856e-01,-9.2878e-01,-9.7113e-01,-2.3869e-01,-7.8583e-01,-7.9560e-01,-1.8405e-01,-7.8674e-01,-7.9772e-01,-6.8641e-01,0
-8.0781e-01,-2.8543e-01,-1.8940e-01,-9.0880e-01,-5.4023e-01,-5.6374e-01,-3.3807e-01,-1.2720e-01,3.9105e-01,-3.4652e-01,-7.7917e-01,-6.9982e-01,-7.8112e-01,-9.7316e-01,-9.5422e-01,-7.8232e-01,-3.6229e-01,-1.6744e-01,7.9577e-02,-7.2617e-01,-7.3113e-01,4.7158e-02,1.2187e-01,-1.4314e-01,-3.7677e-01,-9.4849e-01,-9.5641e-01,-3.7933e-01,-8.6257e-01,-7.8954e-01,-3.6969e-01,-8.6369e-01,-8.1157e-01,-7.1256e-01,0
-7.5172e-01,-2.8013e-01,-5.5891e-02,-9.7273e-01,-6.6444e-01,-5.6374e-01,-1.0325e-02,5.5005e-01,5.6574e-01,-6.2453e-01,-9.1562e-01,-7.6760e-01,-9.2579e-01,-9.9543e-01,-9.7241e-01,-7.6866e-01,-3.9698e-01,-5.4699e-02,-6.0640e-02,-8.0689e-01,-7.3572e-01,5.0807e-02,2.7974e-02,-3.0046e-01,-5.1821e-01,-9.7100e-01,-9.5774e-01,-6.4575e-01,-9.2056e-01,-7.0909e-01,-5.8824e-01,-9.2515e-01,-7.1736e-01,-7.7456e-01,0
-5.7646e-02,2.1093e-02,7.7361e-01,3.3634e-02,1.0000e+00,-1.9063e-01,-2.1483e-02,-7.3153e-01,8.0263e-02,-4.3406e-01,-2.1511e-01,-3.9283e-01,-8.3491e-01,-6.8600e-01,-8.1447e-01,-9.7881e-02,-3.5359e-01,9.6515e-01,-6.9832e-01,-2.5655e-01,1.2298e-01,-3.4660e-01,9.4593e-02,7.3058e-02,-9.3362e-01,-6.9593e-01,-3.5371e-01,-8.9430e-01,-9.0645e-01,-8.0817e-01,-9.1879e-01,-9.2301e-01,-8.8483e-01,-6.0192e-01,0
-5.4507e-02,2.4605e-01,2.1669e-01,2.4670e-01,1.0000e+00,-1.9063e-01,-1.3394e-01,-1.0000e+00,3.1505e-02,2.9642e-02,3.3116e-01,-1.8837e-01,-4.6383e-01,-1.0843e-01,-6.6926e-01,-1.0024e-01,-2.2021e-01,3.4653e-01,-4.2140e-01,3.0193e-01,-1.1799e-01,-3.3902e-01,1.4659e-01,-6.1371e-02,-7.9910e-01,-1.2553e-01,-5.9525e-01,-3.3307e-01,-2.8388e-01,-4.1547e-02,-2.1218e-01,-2.7121e-01,-3.6720e-02,-2.3001e-01,0
-2.7566e-01,7.6012e-01,-2.7154e-01,2.4670e-01,1.0000e+00,-2.5841e-01,-2.3998e-01,-1.0000e+00,-2.3130e-01,2.9725e-01,6.3432e-01,-2.0605e-01,-1.5301e-01,3.3924e-01,-6.8346e-01,-2.7917e-01,4.4903e-01,-1.6167e-01,-2.4656e-01,6.7450e-01,-2.5456e-01,-4.8452e-01,9.5976e-02,-8.8394e-02,-6.7790e-01,4.1814e-01,-7.0720e-01,1.4098e-02,3.0117e-01,-3.2596e-01,2.1218e-01,2.9237e-01,-3.2474e-01,1.1069e-01,0
-4.9173e-01,9.1110e-01,-4.3327e-01,4.6447e-02,1.0000e+00,-3.2344e-01,-4.5293e-01,-1.0000e+00,-3.2964e-01,3.6567e-01,8.1136e-01,1.6357e-02,-6.2186e-02,6.4265e-01,-4.8208e-01,-5.3430e-01,7.9158e-01,-6.3987e-02,-5.9439e-02,8.7715e-01,-2.2117e-02,-7.7987e-01,4.1425e-03,-4.5723e-02,-5.1707e-01,7.6868e-01,-5.0588e-01,2.0652e-01,6.3475e-01,-6.3809e-02,4.4613e-01,6.2155e-01,-1.9016e-01,4.7413e-01,0
-4.2634e-01,3.3660e-01,-5.0424e-01,3.4471e-01,1.0000e+00,4.2367e-01,-4.8799e-01,-1.0000e+00,-1.0000e+00,7.2695e-01,9.1497e-01,4.7515e-01,4.9405e-01,8.3458e-01,8.9141e-02,-5.0459e-01,1.8382e-01,-2.3598e-01,8.7968e-02,8.9547e-01,4.3112e-01,-4.3927e-01,3.1245e-02,-2.0181e-02,-3.6773e-01,8.0229e-01,3.7081e-02,4.7951e-01,7.1946e-01,3.1496e-01,7.4111e-01,7.1753e-01,3.2629e-01,7.2750e-01,0
-2.2471e-01,2.4253e-01,-3.8933e-01,3.4471e-01,1.0000e+00,4.2367e-01,-4.8799e-01,-1.0000e+00,-1.0000e+00,6.1177e-01,6.6751e-01,5.1507e-01,3.0272e-01,3.9377e-01,1.4877e-01,-3.1308e-01,1.9960e-01,-1.2561e-01,-6.9618e-02,6.4038e-01,4.5552e-01,-3.7237e-01,6.0284e-02,-9.9930e-02,-5.2665e-01,3.6293e-01,7.1952e-02,5.3348e-01,2.4690e-01,4.3341e-01,8.8309e-01,2.0978e-01,4.7645e-01,4.2984e-01,0
-1.3418e-01,1.2870e-02,3.0244e-01,3.3448e-01,1.0000e+00,1.5083e-01,1.5317e-01,-1.0000e+00,-3.7843e-01,-7.9016e-02,6.7899e-02,6.7658e-02,-5.6984e-01,-4.2356e-01,-4.2863e-01,-2.1618e-01,-3.5986e-01,7.3252e-01,-5.0707e-01,2.9562e-02,1.4151e-01,-3.3276e-01,2.3119e-01,-7.4792e-02,-8.4824e-01,-4.4036e-01,-3.3281e-01,-3.9580e-01,-4.5987e-01,-1.8386e-01,-3.2152e-01,-4.7949e-01,-4.1713e-01,-3.1406e-01,0
-8.6316e-01,-3.2729e-01,-9.1844e-02,-8.1764e-01,-5.8060e-01,-6.1430e-01,-3.5643e-01,3.0405e-01,5.2483e-01,-2.0952e-01,-8.2795e-01,-7.1911e-01,-6.8174e-01,-9.8323e-01,-9.5986e-01,-8.4417e-01,-4.3489e-01,-1.0582e-01,1.9646e-01,-7.3484e-01,-7.1603e-01,1.7662e-01,5.7588e-02,-2.7962e-01,-2.4506e-01,-9.5120e-01,-9.5189e-01,-1.6455e-01,-8.7247e-01,-6.1302e-01,-1.0801e-01,-8.7217e-01,-6.2487e-01,-6.3218e-01,0
-8.3064e-01,-3.4722e-01,-3.7891e-02,-8.8237e-01,-6.5018e-01,-6.1430e-01,-2.0172e-01,5.4072e-01,5.3506e-01,-3.3199e-01,-8.7608e-01,-7.5629e-01,-7.7146e-01,-9.9087e-01,-9.6969e-01,-8.3762e-01,-4.7120e-01,5.4577e-02,1.1817e-01,-7.4726e-01,-7.1608e-01,1.9074e-01,6.9618e-03,-3.3664e-01,-3.3467e-01,-9.5496e-01,-9.5190e-01,-3.0410e-01,-8.7584e-01,-6.9166e-01,-2.6035e-01,-8.7571e-01,-6.8929e-01,-6.5297e-01,0
-7.4485e-01,-3.0382e-01,-8.0996e-02,-8.7303e-01,-6.5650e-01,-5.6827e-01,-2.0172e-01,4.4436e-01,5.5391e-01,-3.2526e-01,-8.7249e-01,-7.9825e-01,-7.6691e-01,-9.9038e-01,-9.7913e-01,-7.2227e-01,-3.8829e-01,-8.8392e-02,-1.2131e-02,-7.7276e-01,-7.7426e-01,5.9116e-02,3.5234e-02,-2.8242e-01,-4.7132e-01,-9.6223e-01,-9.6811e-01,-2.9261e-01,-8.7742e-01,-7.7193e-01,-1.0536e-01,-9.0959e-01,-7.6793e-01,-7.8145e-01,0
-7.6266e-01,-2.3515e-01,-1.0782e-01,-8.7303e-01,-6.3357e-01,-5.6827e-01,-2.0172e-01,3.9386e-01,4.5163e-01,-3.8739e-01,-8.7884e-01,-7.9802e-01,-8.0717e-01,-9.9123e-01,-9.7908e-01,-7.6564e-01,-3.2199e-01,-7.9043e-02,6.0656e-04,-8.1754e-01,-7.8973e-01,-3.5987e-03,6.9050e-02,-2.4591e-01,-4.5865e-01,-9.7352e-01,-9.7187e-01,-3.9074e-01,-9.1599e-01,-8.0037e-01,-2.7561e-01,-9.2021e-01,-8.1503e-01,-8.0648e-01,0
-7.4117e-01,-3.1072e-01,-9.9988e-02,-9.8123e-01,7.9026e-01,1.0027e-01,-2.5834e-01,3.9010e-01,4.5163e-01,-5.1524e-01,-6.8835e-01,-6.6522e-01,-8.7802e-01,-9.4814e-01,-9.4317e-01,-7.3655e-01,-4.5142e-01,-6.6355e-02,-5.9246e-02,-6.4574e-01,-6.7238e-01,3.2921e-02,3.7836e-02,-2.5700e-01,-5.1689e-01,-9.1995e-01,-9.3757e-01,-6.1906e-01,-8.5604e-01,-7.9424e-01,-5.4751e-01,-8.5237e-01,-7.9426e-01,-7.1964e-01,0
-7.0065e-01,-3.2404e-01,-1.5020e-01,-9.8381e-01,7.9026e-01,1.0027e-01,-3.2133e-01,1.7028e-01,3.4935e-01,-4.6560e-01,-6.3680e-01,-5.5981e-01,-8.5244e-01,-9.3032e-01,-9.0214e-01,-6.7290e-01,-4.6250e-01,-1.3490e-01,-1.1274e-01,-5.9833e-01,-5.8948e-01,5.3607e-02,8.6145e-02,-1.6893e-01,-5.6616e-01,-9.0028e-01,-9.0530e-01,-7.0849e-01,-8.5888e-01,-8.4150e-01,-6.6945e-01,-8.5594e-01,-8.4292e-01,-7.1003e-01,0
-3.3665e-01,3.6977e-01,8.2668e-01,-6.1143e-01,1.0000e+00,4.5890e-01,-7.8625e-01,-1.0000e+00,3.4701e-01,8.0608e-02,1.6979e-01,-3.8990e-01,-4.1009e-01,-3.0972e-01,-8.1268e-01,-9.1920e-02,-4.1866e-02,9.8834e-01,-3.4028e-01,1.5261e-01,1.6866e-01,-3.7262e-01,5.2413e-01,-3.4579e-01,-7.4635e-01,-3.0676e-01,-3.0158e-01,-1.2110e-01,-9.0889e-01,-8.6499e-01,-9.4652e-01,-9.4491e-01,-9.7376e-01,-2.7099e-01,0
