0.996;-2.968;9.577;2021-05-11 12:08:22.740
1.034;-2.988;9.519;2021-05-11 12:08:22.730
1.034;-3.026;9.5;2021-05-11 12:08:22.720
1.034;-3.064;9.519;2021-05-11 12:08:22.710
1.015;-3.064;9.519;2021-05-11 12:08:22.700
0.996;-3.026;9.519;2021-05-11 12:08:22.691
0.957;-2.968;9.557;2021-05-11 12:08:22.680
0.976;-2.93;9.577;2021-05-11 12:08:22.670
0.957;-2.911;9.577;2021-05-11 12:08:22.660
0.957;-2.93;9.596;2021-05-11 12:08:22.650
0.996;-2.988;9.577;2021-05-11 12:08:22.640
1.015;-3.007;9.538;2021-05-11 12:08:22.630
0.976;-3.007;9.538;2021-05-11 12:08:22.620
0.976;-3.007;9.538;2021-05-11 12:08:22.610
1.034;-3.026;9.5;2021-05-11 12:08:22.600
1.091;-3.045;9.481;2021-05-11 12:08:22.590
1.015;-3.026;9.538;2021-05-11 12:08:22.580
0.996;-2.988;9.557;2021-05-11 12:08:22.570
1.015;-2.968;9.519;2021-05-11 12:08:22.560
1.015;-3.007;9.519;2021-05-11 12:08:22.550
1.015;-3.007;9.557;2021-05-11 12:08:22.540
0.996;-2.988;9.557;2021-05-11 12:08:22.530
0.976;-2.988;9.557;2021-05-11 12:08:22.520
0.996;-3.007;9.519;2021-05-11 12:08:22.511
1.034;-3.007;9.538;2021-05-11 12:08:22.500
1.015;-3.007;9.538;2021-05-11 12:08:22.490
0.976;-2.988;9.577;2021-05-11 12:08:22.480
0.976;-2.988;9.557;2021-05-11 12:08:22.470
0.976;-3.007;9.538;2021-05-11 12:08:22.460
1.015;-3.007;9.538;2021-05-11 12:08:22.450
1.015;-3.026;9.5;2021-05-11 12:08:22.441
1.015;-3.045;9.519;2021-05-11 12:08:22.430
1.015;-3.045;9.538;2021-05-11 12:08:22.424
1.053;-2.988;9.519;2021-05-11 12:08:22.410
1.034;-2.988;9.519;2021-05-11 12:08:22.400
0.996;-2.988;9.557;2021-05-11 12:08:22.392
0.996;-2.949;9.577;2021-05-11 12:08:22.390
1.015;-2.949;9.538;2021-05-11 12:08:22.389
0.996;-2.988;9.538;2021-05-11 12:08:22.387
1.015;-3.007;9.519;2021-05-11 12:08:22.386
1.015;-3.026;9.519;2021-05-11 12:08:22.385
1.015;-3.026;9.557;2021-05-11 12:08:22.383
0.976;-3.007;9.538;2021-05-11 12:08:22.382
0.996;-3.007;9.557;2021-05-11 12:08:22.381
0.976;-2.988;9.557;2021-05-11 12:08:22.379
0.976;-2.968;9.557;2021-05-11 12:08:22.378
0.976;-2.968;9.577;2021-05-11 12:08:22.376
1.015;-3.007;9.538;2021-05-11 12:08:22.375
1.034;-3.026;9.5;2021-05-11 12:08:22.374
1.015;-3.064;9.519;2021-05-11 12:08:22.372
0.996;-3.083;9.557;2021-05-11 12:08:22.371
0.996;-3.045;9.538;2021-05-11 12:08:22.370
0.996;-2.988;9.519;2021-05-11 12:08:22.368
0.996;-2.949;9.538;2021-05-11 12:08:22.367
0.976;-2.949;9.557;2021-05-11 12:08:22.366
0.996;-2.968;9.557;2021-05-11 12:08:22.364
1.034;-3.007;9.519;2021-05-11 12:08:22.363
1.034;-3.026;9.519;2021-05-11 12:08:22.362
1.034;-3.045;9.519;2021-05-11 12:08:22.360
1.034;-3.045;9.5;2021-05-11 12:08:22.358
1.015;-3.045;9.538;2021-05-11 12:08:22.357
1.015;-3.026;9.538;2021-05-11 12:08:22.356
0.996;-3.007;9.519;2021-05-11 12:08:22.354
0.976;-2.988;9.557;2021-05-11 12:08:22.353
0.976;-2.988;9.577;2021-05-11 12:08:22.352
