@relation features_normt

@attribute meanX numeric
@attribute meanY numeric
@attribute meanZ numeric
@attribute maxX numeric
@attribute maxY numeric
@attribute maxZ numeric
@attribute minX numeric
@attribute minY numeric
@attribute minZ numeric
@attribute stdX numeric
@attribute stdY numeric
@attribute stdZ numeric
@attribute varX numeric
@attribute varY numeric
@attribute varZ numeric
@attribute medianX numeric
@attribute medianY numeric
@attribute medianZ numeric
@attribute rmsX numeric
@attribute rmsY numeric
@attribute rmsZ numeric
@attribute corX numeric
@attribute corY numeric
@attribute corZ numeric
@attribute energyX numeric
@attribute energyY numeric
@attribute energyZ numeric
@attribute iqrX numeric
@attribute iqrY numeric
@attribute iqrZ numeric
@attribute madX numeric
@attribute madY numeric
@attribute madZ numeric
@attribute sma numeric
@attribute Class {0,1}

@data
0.33299,-0.098378,0.62757,-0.37954,-0.67592,-0.32641,0.6093,0.65327,0.87848,-0.76208,-0.97634,-0.92804,-0.96432,-0.99922,-0.99549,0.32993,-0.24592,0.62774,-0.27498,-0.94554,-0.18272,-0.47666,-0.084782,0.66652,-0.6979,-0.99538,-0.64671,-0.98178,-0.99756,-0.99984,-0.98553,-1,-0.99271,-0.70512,0
-0.054611,-0.74173,0.41535,-0.46946,-0.71057,-0.43738,0.46563,0.31565,0.56994,-0.59345,-0.88123,-0.70181,-0.90596,-0.99055,-0.9485,-0.11419,-0.76468,0.5165,-0.77861,-0.48268,-0.32127,-0.48833,-0.77671,-0.02868,-0.95877,-0.84352,-0.75175,-0.442,-0.9128,-0.81682,-0.32369,-0.91658,-0.81379,-0.73881,0
-0.55154,-0.65698,0.062123,-0.67097,-0.65923,-0.55825,-0.036433,0.24158,0.50588,-0.43933,-0.82051,-0.70336,-0.82862,-0.98039,-0.94899,-0.57758,-0.68184,0.12051,-0.33004,-0.52079,-0.604,0.16763,-0.26186,-0.29522,-0.73772,-0.86364,-0.9089,-0.39894,-0.87551,-0.64304,-0.35762,-0.86751,-0.66341,-0.68764,0
-0.19404,-0.76074,-0.16007,-0.33884,-0.68848,-0.3243,0.18459,0.009211,0.47084,-0.09184,-0.80651,-0.68559,-0.57017,-0.97754,-0.94322,-0.387,-0.73037,-0.1202,-0.50715,-0.44735,-0.69802,-0.27009,0.062506,-0.076105,-0.84699,-0.82364,-0.94416,0.098039,-0.90992,-0.70808,-0.4247,-0.90936,-0.7096,-0.75304,0
-0.018314,-0.89489,0.067151,-0.398,-0.51594,-0.46378,0.65855,0.12871,0.66331,-0.74356,-0.81086,-0.87578,-0.95925,-0.97844,-0.98905,-0.083944,-0.94159,0.058496,-0.81092,-0.35917,-0.69929,-0.57353,-0.37377,-0.018559,-0.96758,-0.76892,-0.94458,-0.95365,-0.98749,-0.9498,-0.95265,-0.98178,-0.95381,-0.83019,0
0.086578,-0.70774,0.16027,-0.48344,-0.90962,-0.65353,0.74662,0.33422,0.73651,-0.96598,-0.93527,-0.98577,-0.99824,-0.99656,-0.99951,0.060331,-0.70918,0.18264,-0.69939,-0.51723,-0.64028,-0.67202,-0.38989,0.084013,-0.93311,-0.86181,-0.92351,-0.96805,-0.99395,-0.98377,-0.96593,-0.98581,-0.98496,-0.8025,0
-0.094701,-0.97671,-0.10834,-0.64345,-0.98612,-0.72494,0.58589,0.36156,0.57695,-0.80335,-0.98665,-0.87348,-0.97442,-0.99963,-0.98871,-0.066442,-0.96057,-0.1413,-0.92357,-0.33331,-0.83756,-0.443,-0.10862,-0.088372,-0.99083,-0.75148,-0.98084,-0.671,-0.97831,-0.79668,-0.83756,-0.9757,-0.87727,-0.89669,0
-0.067796,-0.38639,0.88385,-0.45402,-0.69657,-0.34948,0.58502,0.37233,0.71163,-0.78654,-0.89046,-0.82727,-0.97051,-0.99178,-0.9807,-0.11364,-0.44459,0.93848,-0.88848,-0.72441,0.077931,-0.39779,-0.70437,0.068817,-0.98483,-0.94798,-0.39917,-0.83222,-0.93483,-0.91674,-0.81862,-0.93896,-0.91635,-0.7923,0
-0.048354,-0.62415,-0.048706,-0.28775,-0.53552,-0.46627,0.1025,0.14757,0.27862,0.18516,-0.79401,-0.57279,-0.28069,-0.97482,-0.89942,0.15352,-0.66639,0.13916,-0.32328,-0.53128,-0.55859,-0.4141,0.007122,-0.079821,-0.73298,-0.86893,-0.88883,0.45539,-0.8665,-0.47409,-0.23464,-0.86399,-0.55121,-0.65461,0
0.23745,-0.60531,0.3884,-0.32494,-0.70979,-0.44917,0.78194,0.36976,0.50416,-0.85753,-0.92672,-0.76442,-0.98519,-0.9958,-0.96648,0.2022,-0.66872,0.46488,-0.44188,-0.5869,-0.37007,-0.81629,-0.5742,0.35621,-0.81006,-0.89529,-0.78435,-0.88713,-0.96268,-0.89184,-0.87413,-0.9564,-0.89186,-0.61721,0
0.087128,-0.81913,0.31567,-0.54594,-0.93263,-0.61881,0.76719,0.42221,0.76466,-0.98322,-0.9872,-0.9853,-0.99927,-0.99965,-0.99949,0.061596,-0.83133,0.34422,-0.69951,-0.44454,-0.4898,-0.72284,-0.69801,0.15063,-0.93316,-0.82201,-0.85466,-0.95256,-0.984,-0.97373,-0.9445,-0.97855,-0.97272,-0.67484,0
0.2123,-0.34529,0.26174,-0.29632,-0.63705,-0.35436,0.58754,0.37233,0.50314,-0.34352,-0.8683,-0.42287,-0.76899,-0.98869,-0.82206,0.22569,-0.40004,0.052258,-0.35705,-0.74084,-0.27222,-0.58247,-0.18312,0.001658,-0.75624,-0.95308,-0.71667,-0.078473,-0.9236,-0.1515,-0.036828,-0.94685,-0.30935,-0.80244,0
-0.25879,-0.37176,-0.11114,-0.32037,-0.45651,-0.18693,0.099324,0.23304,0.37547,0.11474,-0.6723,-0.55049,-0.3613,-0.94043,-0.8893,-0.48133,-0.54932,-0.058863,-0.36179,-0.59968,-0.55919,-0.3422,0.041732,-0.094279,-0.75942,-0.90094,-0.88911,0.45483,-0.74742,-0.51784,0.14665,-0.77153,-0.53861,-0.76145,0
-0.048993,-0.71186,0.24273,-0.54549,-0.79128,-0.45058,0.64882,0.31847,0.69466,-0.82798,-0.93384,-0.84331,-0.97967,-0.99644,-0.98372,-0.11531,-0.74845,0.16393,-0.88316,-0.51413,-0.5298,-0.48593,-0.5016,-0.010127,-0.98383,-0.86022,-0.87508,-0.7731,-0.98141,-0.82825,-0.92161,-0.97633,-0.9629,-0.88523,0
0.095949,-0.79652,-0.21926,-0.35047,-0.63895,-0.51776,0.44667,-0.097833,0.28333,-0.44906,-0.77225,-0.54064,-0.83418,-0.96974,-0.88467,0.13497,-0.82489,0.002477,-0.54895,-0.41112,-0.56807,-0.75011,0.12037,-0.0837,-0.86859,-0.80204,-0.89319,-0.55285,-0.86907,-0.57737,-0.60779,-0.86243,-0.76381,-0.69964,0
0.31458,-0.22612,0.37695,-0.19032,-0.4962,-0.26219,0.60707,0.44035,0.67609,-0.55236,-0.83581,-0.71518,-0.88758,-0.98329,-0.95266,0.37561,-0.34417,0.30912,-0.2676,-0.79011,-0.36047,-0.60325,-0.1518,0.43173,-0.69235,-0.96686,-0.77812,-0.66632,-0.92259,-0.78736,-0.8765,-0.92021,-0.81036,-0.74732,0
0.028645,-0.46814,0.70347,-0.25797,-0.64176,-0.35399,0.62455,0.30824,0.68208,-0.56432,-0.87755,-0.73142,-0.89309,-0.99004,-0.95748,-0.089871,-0.5501,0.855,-0.67903,-0.66602,-0.070847,-0.49879,-0.70375,0.18443,-0.92559,-0.92778,-0.54846,-0.58704,-0.98159,-0.93193,-0.90057,-0.97666,-0.94885,-0.7462,0
0.33558,-0.45137,0.25114,-0.36028,-0.66617,-0.43818,0.69609,0.36244,0.70138,-0.78514,-0.92373,-0.88499,-0.97017,-0.99552,-0.99038,0.33576,-0.54875,0.25542,-0.27357,-0.69202,-0.53466,-0.79099,-0.28281,0.34896,-0.69685,-0.93717,-0.87746,-0.94484,-0.98081,-0.88732,-0.93489,-0.97566,-0.88519,-0.67855,0
0.28179,-0.12578,0.4416,-0.30031,-0.3777,-0.41337,0.41642,0.18175,0.59265,-0.5314,-0.71239,-0.7873,-0.87758,-0.95336,-0.9721,0.33558,-0.20747,0.49895,-0.31308,-0.72629,-0.32957,-0.41274,-0.006236,0.43668,-0.72575,-0.94857,-0.75745,-0.83387,-0.94808,-0.88605,-0.88307,-0.94392,-0.88015,-0.76212,0
-0.11215,-0.81734,0.3523,-0.58393,-0.84073,-0.48177,0.50556,0.21903,0.54474,-0.77477,-0.89344,-0.75457,-0.9676,-0.99216,-0.96391,-0.16031,-0.8378,0.42495,-0.92073,-0.43337,-0.39849,-0.39197,-0.77129,-0.044071,-0.99039,-0.81546,-0.80228,-0.83553,-0.93601,-0.74865,-0.82257,-0.92896,-0.74337,-0.80075,0
0.2053,-0.40417,0.39936,-0.36174,-0.68211,-0.14831,0.55358,0.23115,0.55322,-0.54663,-0.74625,-0.76861,-0.88489,-0.96306,-0.96755,0.28616,-0.31744,0.4872,-0.43199,-0.63623,-0.36172,-0.65487,-0.43455,0.31052,-0.80412,-0.91624,-0.77893,-0.71496,-0.83063,-0.96651,-0.93766,-0.97689,-0.96173,-0.74284,0
-0.29634,-0.30885,0.21171,-0.45353,-0.69781,-0.50879,0.28347,0.67969,0.66949,0.13544,-0.92728,-0.67851,-0.33811,-0.99585,-0.94083,-0.64749,-0.49144,0.00052,-0.33175,-0.78904,-0.47884,-0.25003,-0.12651,-0.060389,-0.73891,-0.96659,-0.8488,0.61725,-0.9046,-0.49162,-0.90333,-0.97152,-0.934,-0.79738,0
0.22229,-0.2816,0.42726,-0.40027,-0.67427,-0.51569,0.79653,0.50225,0.71347,-0.7669,-0.87762,-0.82167,-0.96558,-0.99005,-0.97959,0.13185,-0.51792,0.31878,-0.45451,-0.7845,-0.35313,-0.57128,-0.24598,0.32782,-0.81751,-0.96541,-0.77329,-0.63013,-0.8629,-0.71687,-0.728,-0.7975,-0.68214,-0.79388,0
0.42857,-0.15957,0.17617,-0.26032,-0.47518,-0.13713,0.8011,0.3716,0.52629,-0.84282,-0.81937,-0.70284,-0.98255,-0.98016,-0.94882,0.43228,-0.25383,0.12987,-0.12649,-0.80903,-0.5206,-0.57173,0.003943,0.35769,-0.57669,-0.97155,-0.87052,-0.81523,-0.91819,-0.7115,-0.84835,-0.92125,-0.80658,-0.75275,0
0.080997,-0.8673,0.20523,-0.54723,-0.65043,-0.55825,0.71818,0.23581,0.70388,-0.94752,-0.94127,-0.91438,-0.99682,-0.99705,-0.99406,0.062491,-0.87416,0.21775,-0.70715,-0.40645,-0.58513,-0.73088,-0.57206,0.099721,-0.93588,-0.79917,-0.9008,-0.94206,-0.97921,-0.91204,-0.93397,-0.97329,-0.91392,-0.70248,0
-0.51559,-0.29541,0.077921,-0.20679,-0.31347,-0.29428,-0.26772,0.094682,0.52982,0.3044,-0.71041,-0.67978,-0.13331,-0.95276,-0.94126,-0.62882,-0.41393,0.084182,-0.067837,-0.66358,-0.57689,-0.14056,-0.007193,-0.20857,-0.52325,-0.92687,-0.89716,0.24687,-0.84373,-0.68292,0.22465,-0.85536,-0.6825,-0.70728,0
0.081039,-0.65624,-0.01055,-0.42082,-0.61805,-0.44057,0.4301,-0.1115,0.27751,-0.48232,-0.74363,-0.38445,-0.8525,-0.96235,-0.79872,0.11509,-0.73459,0.22362,-0.58104,-0.48782,-0.37561,-0.69587,0.067448,-0.015915,-0.8841,-0.84631,-0.78791,-0.54687,-0.82785,-0.28286,-0.53558,-0.82146,-0.43397,-0.69827,0
0.1819,-0.69784,0.097936,-0.2996,-0.70107,-0.42277,0.73714,0.19959,0.35477,-0.74423,-0.81929,-0.48891,-0.95944,-0.98015,-0.85883,0.1329,-0.72648,0.2904,-0.51484,-0.49347,-0.41884,-0.80876,-0.30836,0.10797,-0.85109,-0.84935,-0.81465,-0.82997,-0.85916,-0.33174,-0.81297,-0.85347,-0.45162,-0.6584,0
0.070315,-0.80251,0.18069,-0.50178,-0.90116,-0.61905,0.68311,0.32487,0.7272,-0.89886,-0.90164,-0.96628,-0.9915,-0.99316,-0.99851,0.060331,-0.74972,0.20876,-0.71909,-0.44529,-0.61826,-0.68656,-0.4834,0.07928,-0.94003,-0.82245,-0.91479,-0.89813,-0.90268,-0.96695,-0.88478,-0.94555,-0.96758,-0.75735,0
-0.40088,-0.761,0.28634,-0.7237,-0.82846,-0.54745,0.088279,-0.066903,0.53424,-0.74822,-0.86298,-0.82475,-0.96056,-0.98788,-0.98021,-0.40963,-0.76886,0.33333,-0.63843,-0.46482,-0.48381,0.038241,-0.61249,-0.32926,-0.90947,-0.83361,-0.85147,-0.8407,-0.9443,-0.88156,-0.81442,-0.93777,-0.88231,-0.69827,0
-0.54059,-0.68073,-0.39769,-0.73728,-0.64279,-0.77069,-0.00338,0.45494,0.47584,-0.62893,-0.89791,-0.92641,-0.92051,-0.99271,-0.99532,-0.54504,-0.76566,-0.36544,-0.39581,-0.52856,-0.86767,0.19325,0.32517,0.01511,-0.78165,-0.86757,-0.98631,-0.96219,-0.9935,-0.96718,-0.93581,-0.98118,-0.96425,-0.78357,0
-0.66663,-0.37401,-0.11089,-0.65615,-0.78662,-0.78286,0.26047,0.47234,0.44584,-0.75794,-0.96287,-0.91421,-0.96321,-0.99853,-0.99404,-0.70469,-0.46578,-0.046938,-0.21622,-0.75432,-0.8665,0.069867,0.040685,-0.21548,-0.65235,-0.95708,-0.98611,-0.98147,-0.99801,-0.99299,-0.96764,-1,-0.99009,-0.83041,0
-0.35801,-0.79949,-0.67569,-0.85135,-0.95221,-0.97628,0.44906,0.43278,0.46231,-0.98617,-1,-0.99014,-0.99942,-1,-0.99968,-0.38188,-0.8128,-0.61618,-0.74426,-0.45901,-0.62668,-0.009416,0.76331,0.070644,-0.94835,-0.83033,-0.91818,-0.97229,-0.99751,-0.98384,-0.96475,-0.99093,-0.97605,-0.77059,0
-0.2306,-0.39283,0.35954,-0.41012,-0.50653,-0.36771,0.19148,-0.40956,0.66253,0.031584,-0.69797,-0.67633,-0.45033,-0.94889,-0.94009,-0.13167,-0.53268,0.46513,-0.4222,-0.60875,-0.35761,-0.19645,-0.27006,-0.06311,-0.79816,-0.90486,-0.77624,0.46437,-0.89763,-0.52777,0.62528,-0.91273,-0.59786,-0.73409,0
0.33365,-0.50701,0.16735,-0.26702,-0.6886,-0.4868,0.8295,0.26451,0.63958,-0.82189,-0.86689,-0.86482,-0.97843,-0.98848,-0.98736,0.30727,-0.58699,0.20723,-0.28069,-0.63652,-0.60568,-0.83904,-0.26282,0.26727,-0.70216,-0.91636,-0.9096,-0.81557,-0.92064,-0.8458,-0.78666,-0.91488,-0.86043,-0.68685,0
0.071886,-0.79827,-0.21404,-0.30333,-0.70582,-0.61045,0.52444,0.16585,0.44268,-0.34525,-0.83631,-0.72316,-0.77015,-0.98338,-0.95506,0.11589,-0.85555,-0.13531,-0.53149,-0.43198,-0.74372,-0.62987,0.1466,-0.097892,-0.85977,-0.81463,-0.95823,-0.069884,-0.85246,-0.63961,-0.008023,-0.85676,-0.65504,-0.77536,0
-0.1324,-0.9541,0.17882,-0.65739,-0.8931,-0.60904,0.53903,0.24352,0.66335,-0.88329,-0.88542,-0.91827,-0.98932,-0.99112,-0.99448,-0.1534,-0.9791,0.2224,-0.99474,-0.33703,-0.61093,-0.3681,-0.59668,-0.077334,-0.99954,-0.75403,-0.91179,-0.84479,-0.89586,-0.92396,-0.80981,-0.90273,-0.92526,-0.82868,0
0.082073,-0.8228,0.31715,-0.54807,-0.92164,-0.61576,0.75651,0.44195,0.78552,-0.99323,-0.99491,-0.9961,-0.99974,-0.99988,-0.99988,0.057923,-0.83633,0.34575,-0.70835,-0.44234,-0.48906,-0.71545,-0.70496,0.14586,-0.9363,-0.82073,-0.85427,-0.97288,-0.99171,-0.98283,-0.96725,-0.98585,-0.98316,-0.67674,0
0.27744,-0.24037,0.41394,-0.34328,-0.56018,-0.49117,0.65929,0.41601,0.65494,-0.56221,-0.76017,-0.74667,-0.89213,-0.96672,-0.96177,0.32993,-0.24592,0.57307,-0.32712,-0.727,-0.34053,-0.55575,-0.17652,0.39114,-0.73568,-0.9488,-0.76489,-0.91536,-0.92294,-0.74136,-0.90925,-0.93192,-0.89942,-0.76123,0
-0.082929,-0.62948,0.71726,-0.56858,-0.81152,-0.37067,0.46798,0.26179,0.68036,-0.74719,-0.91397,-0.82494,-0.96027,-0.99453,-0.98024,-0.12611,-0.63064,0.82387,-0.88392,-0.5675,-0.080629,-0.42548,-1,0.022612,-0.98397,-0.88643,-0.55753,-0.68246,-0.94698,-0.80717,-0.67171,-0.9684,-0.87304,-0.72564,0
